postID,content,authorEmail
90,"I THINK,' said.
Caterpillar. Alice.",alex.roberts@becker.net
12,"I've been changed.
Between yourself.",kmcdermott@pacocha.com
45,"Queen shouted at.
Alice, 'it would.",chelsie.gibson@hotmail.com
89,"Alice, and, after.
Queen shrieked.",keegan.feil@blick.biz
63,"I did: there's no.
Alice replied.",kamille93@miller.com
13,"The Mock Turtle in.
Mock Turtle. 'Very.",dorris.mitchell@yahoo.com
16,"THERE again!' said.
First, because I'm.",malinda23@kilback.com
61,"Gryphon replied.
Alice. 'I'M not a.",ardith.padberg@huel.org
91,"Alice thought she.
COULD grin.' 'They.",isaac.emard@hotmail.com
22,"Queen. 'You make.
King, and he.",tamara.mueller@yahoo.com
86,"However, the.
Alice said with a.",bins.mellie@adams.com
39,"March Hare moved.
THESE?' said the.",mckenzie.nestor@hotmail.com
40,"Caterpillar.
Please, Ma'am, is.",psatterfield@gmail.com
5,"OF HEARTS. Alice.
Mouse was.",sean66@nader.com
22,"I've tried to say.
The Fish-Footman.",jaiden.halvorson@yahoo.com
7,"However, she soon.
Mouse had changed.",wbecker@murray.info
89,"Turtle.' These.
Grief, they used.",alesch@hettinger.com
19,"Majesty,' said the.
Nobody moved. 'Who.",ubergnaum@yahoo.com
22,"Queen, pointing to.
The cook threw a.",jerde.fredrick@yahoo.com
67,"The jury all.
Duchess's voice.",sammie71@graham.com
28,"Queen say only.
Alice, 'and if it.",dlemke@pacocha.com
54,"I'll manage better.
I fell off the.",terry.damion@hotmail.com
64,"Lizard, Bill, was.
Alice. 'I'm glad.",laura.brekke@luettgen.biz
15,"VERY long claws.
Mock Turtle sighed.",waino.kuhn@carroll.info
49,"Pigeon. 'I can.
March Hare. 'He.",vince.botsford@lebsack.biz
98,"Gryphon remarked.
I shan't! YOU do.",magali50@huel.info
76,"Dodo had paused as.
Cat. '--so long as.",sgutmann@gmail.com
88,"Oh, my dear paws!.
Gryphon repeated.",hamill.emile@borer.biz
57,"Gryphon, and the.
Alice; 'I can't.",zlabadie@white.info
37,"Laughing and.
Gryphon. 'Turn a.",blanda.carroll@gmail.com
49,"I'd been the.
Very soon the.",chagenes@yahoo.com
96,"I? Ah, THAT'S the.
King; 'and don't.",ronaldo08@yahoo.com
54,"Why, I do wonder.
Mock Turtle.",vandervort.lilyan@quitzon.biz
94,"Alice. 'I'm glad.
Alice: 'besides.",agutkowski@hotmail.com
43,"French mouse, come.
Gryphon, lying.",iparisian@blanda.info
95,"Sir, With no jury.
Duchess sneezed.",kirlin.reed@hotmail.com
48,"Dormouse, after.
COULD! I'm sure I.",leuschke.charlotte@kuhlman.org
30,"The Dormouse again.
Mock Turtle in the.",jayson31@hilpert.org
62,"How she longed to.
Mock Turtle. 'Very.",ruecker.abdiel@reinger.com
26,"Dormouse go on.
March--just before.",lavada57@yahoo.com
92,"Duchess.
THAT. Then.",aiden10@gmail.com
50,"I suppose I ought.
At this moment the.",noelia.doyle@gmail.com
12,"I beat him when he.
Mock Turtle.",wrenner@watsica.com
17,"The judge, by the.
Alice could bear.",fay.cassandra@gmail.com
27,"Father William,'.
Lobster; I heard.",gerry.block@hotmail.com
35,"Hatter. 'Stolen!'.
King very.",carolanne.hegmann@gmail.com
25,"Rabbit asked. 'No.
Suppress him!.",marianna.schowalter@gmail.com
48,"Alice. 'That's.
Her chin was.",nkub@kunde.net
9,"Mock Turtle a.
I will just.",kuhn.milford@fadel.biz
30,"Duchess sneezed.
I will tell you.",bwillms@willms.org
